spotify_track_id,title,artist,album,release_date,popularity,duration_ms,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,sentiment_score,genres
1mzn6CQ71eUmgCSfbVmicN,Smooth Criminal - Radio Edit,Michael Jackson,The Essential Michael Jackson,2005-07-19,0,257240,118,96,85,59,15,49,32,7,-6 dB,-0.073867252987364,
2Ms33RTRCT6gArrpcrPxmo,Feel,Robbie Williams,Escapology,2002,78,263866,98,73,60,30,1,0,14,3,-7 dB,0.141111315361091,
5r35Zd5Onw3aV3Gm9XdgtI,Come As You Are,Nirvana,Nirvana (International Version),2002-01-01,0,219026,120,82,50,54,0,0,9,4,-6 dB,0.0248642708174884,
0uqPG793dkDDN7sCUJJIVC,Where Is The Love?,Black Eyed Peas,Elephunk (International Version),2003-01-01,2,272533,94,70,83,81,11,0,13,18,-3 dB,0.048300618662479,
2cJz1loJp5EZM6shmQpLZN,"Harder, Better, Faster, Stronger",Daft Punk,"Harder, Better, Faster, Stronger",2001-10-13,48,226413,123,72,82,69,4,0,36,14,-9 dB,0.1468374954865259,
121so7t3AeX6nLMvxy9ZP9,Hide and Seek,Imogen Heap,Speak For Yourself,2006-04-08,0,268866,121,17,45,11,90,0,20,7,-11 dB,-0.0084988048263624,
1RKUoGiLEbcXN4GY4spQDx,Clint Eastwood,Gorillaz,Gorillaz,2001-03-26,81,340920,168,69,66,53,3,0,7,17,-9 dB,0.0737415147679192,
0Ko737UNjXO17LK4Urdlwo,Fortunate Son,Creedence Clearwater Revival,More Creedence Gold,1973-01-01,1,138400,133,66,64,66,20,1,15,4,-8 dB,-0.2316871716507843,
1yN2z5XVtaAOYGdeEqEuqd,Lemon Tree,Fools Garden,Dish Of The Day,1995,0,191026,143,48,66,64,64,0,12,4,-9 dB,0.0696434375237334,
1iNeZGJsoC0D7ZyJTdIbDS,Technologic,Daft Punk,Human After All,2005-03-11,60,284280,127,52,81,63,0,0,10,22,-7 dB,-0.2695112027026511,
67Hna13dNDkZvBpTXRIaOJ,Teardrop,Massive Attack,Mezzanine,1998-01-01,75,330773,77,42,62,22,2,50,14,4,-9 dB,-0.1472283424093173,
3NldGYmhDLK98kOOo4J1lg,I Still Haven't Found What I'm Looking For,U2,U218 Singles (Deluxe Version),2006-01-01,0,277333,101,77,56,66,1,0,9,4,-9 dB,0.0890978295356035,
3kZC0ZmFWrEHdUCmUqlvgZ,I Will Follow You into the Dark,Death Cab for Cutie,Plans,2005-08-29,64,189186,80,21,52,49,92,0,12,4,-12 dB,0.1461859447034922,
28AZM08WStiEXfqN065BvN,Everybody Hurts,R.E.M.,"In Time: The Best Of R.E.M., 1988-2003",2003-10-28,0,318240,94,32,47,17,62,2,12,3,-10 dB,0.0772401811555028,
7vwkKw2Xd7Pks1X712Au0T,Remember the Name (feat. Styles of Beyond),Fort Minor,The Rising Tied (Deluxe Edition),2005-11-15,8,230493,85,84,69,88,6,0,8,9,-4 dB,0.0240768999925681,
66S14BkJDxgkYxLl5DCqOz,I'm Gonna Be (500 Miles),The Proclaimers,Finest,2003-09-01,69,219466,132,55,85,81,15,0,8,4,-5 dB,0.1234326428029595,
5zF2zGPkL6Ipsn9AfAK6RP,This Love,Maroon 5,Songs About Jane,2002-06-25,2,206200,95,86,71,81,5,0,9,4,-5 dB,0.0498665397943452,
7utRJ4BeYx85khzP3lKoBX,Tears in Heaven,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,1999-10-12,0,271760,154,24,50,31,84,54,13,3,-12 dB,0.002770540840698,
22c2pt75xtnDddA5Zlm0yy,All Star,Smash Mouth,All Star Smash Hits,2005-01-01,1,200560,104,87,73,78,4,0,9,3,-6 dB,0.2437548341770326,
3gNGi2iUGHXGpBQHce6Nua,When You Were Young,The Killers,Sam's Town,2006-10-03,1,220426,130,99,47,32,0,5,28,11,-3 dB,0.1834717471152544,
265Anh9hGoozFigjUVLUeD,New Shoes,Paolo Nutini,These Streets,2007-01-30,66,203653,150,74,75,85,47,0,9,9,-9 dB,0.1950526051876837,
56NkIxSZZiMpFP5ZNSxtnT,Someday,The Strokes,Is This It,2001-07-30,73,183573,106,52,54,68,0,0,37,3,-7 dB,-0.0389060563332325,
6BLpO1HyXTVHlv0fTT3mme,Knocked Up,Kings of Leon,Because Of The Times,2007-04-03,0,430346,121,69,38,21,27,9,18,4,-13 dB,-0.0532695085837923,
0DQtwZLpvln583U1WWv6To,Sympathy For The Devil,The Rolling Stones,Beggars Banquet,1968-12-06,0,377760,114,68,57,61,58,0,4,26,-11 dB,0.0560374693835482,
0jqK7sGTLsHPkQrrcrGuKD,Still Waiting,Sum 41,Does This Look Infected?,2002-01-01,72,158733,192,95,43,56,0,0,27,26,-5 dB,-0.0156692810680555,
4TZCgwX3si4FsGqboRct9A,Brothers In Arms - Edit,Dire Straits,Sultans Of Swing - The Very Best Of Dire Straits,1998-11-10,0,290713,79,37,30,14,55,85,19,3,-8 dB,0.2558120318821498,
7clUVcSOtkNWa58Gw5RfD4,Speed of Sound,Coldplay,X&Y,2005-06-07,74,287906,123,90,51,35,0,3,7,6,-7 dB,0.0383606828425241,
